B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B01003_001E,B19001_001E,B25010_001E,state,county,tract,block group,GEOID
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1008,512,3.42,17,31,691500,2,170316915002
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,643,512,2.65,17,31,691500,3,170316915003
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1406,512,2.8,17,31,710100,1,170317101001
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,598,512,2.35,17,31,805402,5,170318054025
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,855,512,2.24,17,31,805402,1,170318054021
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1701,512,2.94,17,31,805402,4,170318054024
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,904,512,2.61,17,31,805402,2,170318054022
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,732,512,2.66,17,31,805402,3,170318054023
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,582,512,2.78,17,31,806300,3,170318063003
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,776,512,2.16,17,31,806300,5,170318063005
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,900,512,3.54,17,31,806300,6,170318063006
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,598,512,2.42,17,31,806300,4,170318063004
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1023,512,3.25,17,31,806300,1,170318063001
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1695,512,3.32,17,31,807100,3,170318071003
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1272,512,2.76,17,31,807100,2,170318071002
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1737,512,2.93,17,31,808200,3,170318082003
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2224,512,2.68,17,31,808200,1,170318082001
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1021,512,2.04,17,31,420500,1,170314205001
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,926,512,2.97,17,31,430400,3,170314304003
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1124,512,3.11,17,31,430400,4,170314304004
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2169,512,2.61,17,31,823102,1,170318231021
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1087,512,3.04,17,31,822101,4,170318221014
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1199,512,2.91,17,31,822101,2,170318221012
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1553,512,3.2,17,31,823102,2,170318231022
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1236,512,3.68,17,31,823304,5,170318233045
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1318,512,3.61,17,31,823304,6,170318233046
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,620,512,1.55,17,31,823304,3,170318233043
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1428,512,2.74,17,31,823304,4,170318233044
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1910,512,4.04,17,31,824800,3,170318248003
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1490,512,2.89,17,31,824800,4,170318248004
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1749,512,1.88,17,31,31700,2,170310317002
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1566,512,1.46,17,31,31700,3,170310317003
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,507,512,1.76,17,31,81300,2,170310813002
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,706,512,1.46,17,31,81300,1,170310813001
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1225,512,2.29,17,31,100200,1,170311002001
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,571,512,3.15,17,31,100200,2,170311002002
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,868,512,2.06,17,31,100200,4,170311002004
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,763,512,1.54,17,31,100200,5,170311002005
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,740,512,3.57,17,31,100300,3,170311003003
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1314,512,2.77,17,31,100300,4,170311003004
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1061,512,2.38,17,31,100300,2,170311003002
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1443,512,2.95,17,31,110300,4,170311103004
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,946,512,2.98,17,31,110300,3,170311103003
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1024,512,2.71,17,31,110300,5,170311103005
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1319,512,2.86,17,31,110300,2,170311103002
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,776,512,1.46,17,31,31400,6,170310314006
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,954,512,1.97,17,31,32100,5,170310321005
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1469,512,2.41,17,31,835800,1,170318358001
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,983,512,3.08,17,31,835900,2,170318359002
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1120,512,2.26,17,31,835900,3,170318359003
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1492,512,2.19,17,31,835900,1,170318359001
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1563,512,3.15,17,31,834500,1,170318345001
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,723,512,2.84,17,31,836300,1,170318363001
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,860,512,2.03,17,31,836300,2,170318363002
