B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B01003_001E,B19001_001E,B25010_001E,state,county,tract,block group,GEOID
19,12,8,13,7,7,0,0,20,14,48,44,21,23,45,257,1408,538,2.62,17,031,808900,1,170318089001
24,15,21,13,15,10,9,0,16,31,60,77,75,73,107,228,2068,774,2.59,17,031,808900,3,170318089003
17,30,0,10,38,0,0,0,35,48,37,41,9,65,31,92,1003,453,2.21,17,031,809800,1,170318098001
0,13,0,0,0,0,0,0,0,38,12,118,12,43,26,24,775,286,2.71,17,031,810100,3,170318101003
0,0,0,0,0,37,0,0,26,0,40,15,10,61,0,18,506,207,2.44,17,031,810100,4,170318101004
0,0,15,0,49,15,0,31,21,17,68,34,37,0,16,17,575,320,1.8,17,031,810100,1,170318101001
0,18,0,51,27,31,24,17,80,49,30,81,71,14,40,10,1289,543,2.34,17,031,810100,2,170318101002
0,0,8,8,16,29,0,0,20,33,18,67,50,52,70,66,1271,437,2.91,17,031,808302,1,170318083021
129,11,61,68,0,103,27,17,0,3,0,54,16,18,0,81,1484,588,1.92,17,031,809300,3,170318093003
132,11,22,0,17,0,0,0,0,45,28,23,0,0,42,123,923,443,2.08,17,031,809300,1,170318093001
53,0,96,24,0,8,27,0,0,31,9,18,25,0,9,13,900,313,2.88,17,031,480500,2,170314805002
66,45,31,14,23,20,10,14,18,0,8,58,46,47,8,19,1468,427,3.44,17,031,283100,1,170312831001
0,0,11,27,27,47,53,65,0,27,69,14,14,0,4,0,1496,358,4.18,17,031,300700,2,170313007002
54,27,95,28,70,68,0,55,26,12,50,28,0,0,0,0,1902,513,3.71,17,031,300800,1,170313008001
102,14,38,26,38,31,49,39,36,19,40,40,30,11,0,0,1544,513,3.01,17,031,710300,1,170317103001
20,7,0,0,10,39,10,5,15,23,22,76,45,39,109,71,1311,491,2.67,17,031,720500,2,170317205002
